username,repo_name,stars,repo_url
babel,babel,43.6k,https://github.com/babel/babel
swc-project,swc,32.3k,https://github.com/swc-project/swc
nylas,nylas-mail,24.8k,https://github.com/nylas/nylas-mail
electron-react-boilerplate,electron-react-boilerplate,23.8k,https://github.com/electron-react-boilerplate/electron-react-boilerplate
SimulatedGREG,electron-vue,15.5k,https://github.com/SimulatedGREG/electron-vue
grab,front-end-guide,15.2k,https://github.com/grab/front-end-guide
jamiebuilds,babel-handbook,12.1k,https://github.com/jamiebuilds/babel-handbook
developit,htm,8.9k,https://github.com/developit/htm
ast-grep,ast-grep,8.8k,https://github.com/ast-grep/ast-grep
grommet,grommet,8.4k,https://github.com/grommet/grommet
ben-rogerson,twin.macro,8k,https://github.com/ben-rogerson/twin.macro
fkling,astexplorer,6.4k,https://github.com/fkling/astexplorer
angular-fullstack,generator-angular-fullstack,6.1k,https://github.com/angular-fullstack/generator-angular-fullstack
thx,gogocode,5.9k,https://github.com/thx/gogocode
documentationjs,documentation,5.8k,https://github.com/documentationjs/documentation
insin,nwb,5.6k,https://github.com/insin/nwb
thinkjs,thinkjs,5.3k,https://github.com/thinkjs/thinkjs
egoist,poi,5.2k,https://github.com/egoist/poi
duxianwei520,react,5.2k,https://github.com/duxianwei520/react
babel,babel-loader,4.9k,https://github.com/babel/babel-loader
